R (pc),Total_mass (Msun),DM_mass (Msun),Stellar_and_BH_mass (Msun)
479.58206894321836,13907322092.016287,948206790.7582055,12959115301.258081
499.9999999999999,14473265537.59425,1030200143.331307,13443065394.262943
521.2872127410562,15079660555.114227,1119262331.5328145,13960398223.581413
543.4807163346796,15729105067.433804,1215999960.9094584,14513105106.524345
566.6190955932358,16424335416.523487,1321071320.8793197,15103264095.644167
590.742578055312,17168231327.334497,1435190739.3916376,15733040587.94286
615.8931039238404,17963820895.24779,1559133298.020543,16404687597.22725
642.1143989817931,18814285596.28699,1693739936.6064553,17120545659.680536
669.4520506122351,19722965321.735138,1839922978.5098782,17883042343.225258
697.9535870548747,20693363442.35563,1998672110.2074368,18694691332.148193
727.6685600369156,21729151911.059395,2171060851.291623,19558091059.767773
758.6486309218851,22834176417.429962,2358253553.7588696,20475922863.67109
790.9476605261758,24012461612.531456,2561512972.281202,21450948640.250256
824.6218027594988,25268216428.36331,2782208450.422211,22486007977.9411
859.7296022520104,26605839522.500984,3021824770.7944345,23584014751.70655
896.332096137855,28029924885.810043,3281971720.8887324,24747953164.92131
934.4929201721021,29545267658.78608,3564394429.9063034,25980873228.879776
974.2784193655331,31156870210.584946,3870984535.935297,27285885674.649647
1015.7577633296416,32869948543.84199,4203792246.949001,28666156296.89299
1059.003066532399,34689939098.19313,4565039363.654787,30124899734.538345
1104.0895136738116,36622506035.548004,4957133336.80068,31665372698.747322
1151.0954903992995,38673549100.97061,5382682436.541955,33290866664.428654
1200.1027195781028,40849212164.383766,5844512116.858249,35004700047.52551
1251.1964033836616,43155892559.552155,6345682663.184936,36810209896.36722
1304.4653714230094,45600251349.01785,6889508217.57614,38710743131.44171
1360.002235172655,48189224655.472885,7479577281.5581045,40709647373.91478
1417.9035489895198,50930036212.19582,8119774803.191683,42810261409.00414
1478.2699779768004,53830211297.3678,8814305961.565468,45015905335.80233
1541.206472996618,56897592228.99643,9567721768.75613,47329870460.240295
1606.822453133762,60140355608.97025,10384946616.478277,49755408992.491974
1675.231995927695,63567031516.1409,11271307901.998158,52295723614.14274
1746.5540357035695,67186524859.40625,12232567875.599468,54953956983.80678
1820.912570347118,71008139111.98227,13274957859.49085,57733181252.491425
1898.4368768828037,75041602658.24503,14405214996.430979,60636387661.81404
1979.2617362301453,79297097993.09811,15630621693.970905,63666476299.12721
2063.527667528877,83785294022.63681,16959047938.975637,66826246083.66117
2151.381172440363,88517381721.82834,18398996664.89543,70118385056.93292
2242.974989850046,93505113411.73141,19959652362.83377,73545461048.89764
2338.4683614136634,98760845924.09378,21650933135.455853,77109912788.63792
2438.027308408948,104297587925.63368,23483546400.79285,80814041524.84084
2541.824920374166,110129051677.67441,25469048460.723953,84660003216.95045
